country,year,month,lat,lon,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
Puerto Rico [United States],1991,9,18.4325,-66.0108,28.50333333333332,32.003333333333345,25.003333333333327,4.239999999999999,0.0,0.0
Puerto Rico [United States],1991,10,18.4325,-66.0108,27.966129032258063,31.541935483870972,24.390322580645154,1.5,0.0,0.0
Puerto Rico [United States],1991,11,18.4325,-66.0108,26.61,29.899999999999995,23.319999999999993,5.220000000000001,0.0,0.0
Puerto Rico [United States],1991,12,18.4325,-66.0108,24.966129032258067,28.167741935483868,21.764516129032263,2.22258064516129,0.0,0.0
Puerto Rico [United States],1992,1,18.4325,-66.0108,25.072580645161295,28.503225806451606,21.64193548387097,3.306451612903225,0.0,0.0
Puerto Rico [United States],1992,2,18.4325,-66.0108,25.665517241379312,29.220689655172396,22.110344827586204,1.0448275862068965,0.0,0.0
Puerto Rico [United States],1992,3,18.4325,-66.0108,26.016129032258068,29.638709677419357,22.39354838709677,1.206451612903226,0.0,0.0
Puerto Rico [United States],1992,4,18.4325,-66.0108,27.09,30.519999999999996,23.659999999999993,1.8033333333333337,0.0,0.0
Puerto Rico [United States],1992,5,18.4325,-66.0108,27.361290322580643,30.56451612903227,24.158064516129024,7.174193548387096,0.0,0.0
Puerto Rico [United States],1992,6,18.4325,-66.0108,28.530000000000005,31.936666666666667,25.12333333333334,4.706666666666668,0.0,0.0
Puerto Rico [United States],1992,7,18.4325,-66.0108,27.98548387096774,31.274193548387114,24.696774193548386,3.5935483870967735,0.0,0.0
Puerto Rico [United States],1992,8,18.4325,-66.0108,28.159677419354836,31.706451612903237,24.61290322580645,3.277419354838709,0.0,0.0
Puerto Rico [United States],1992,9,18.4325,-66.0108,27.941666666666666,31.43333333333334,24.449999999999996,4.533333333333333,0.0,0.0
Puerto Rico [United States],1992,10,18.4325,-66.0108,28.866129032258073,32.61612903225807,25.116129032258065,1.429032258064516,0.0,0.0
Puerto Rico [United States],1992,11,18.4325,-66.0108,27.08333333333333,30.603333333333335,23.56333333333333,10.14666666666667,0.0,0.0
Puerto Rico [United States],1992,12,18.4325,-66.0108,26.298387096774196,29.745161290322574,22.85161290322581,3.870967741935483,0.0,0.0
Puerto Rico [United States],1993,1,18.4325,-66.0108,25.162903225806453,28.600000000000005,21.7258064516129,1.929032258064516,0.0,0.0
Puerto Rico [United States],1993,2,18.4325,-66.0108,25.780357142857135,29.578571428571426,21.98214285714286,0.4642857142857143,0.0,0.0
Puerto Rico [United States],1993,3,18.4325,-66.0108,26.259677419354837,30.235483870967748,22.283870967741933,0.6419354838709678,0.0,0.0
Puerto Rico [United States],1993,4,18.4325,-66.0108,26.84166666666666,30.673333333333336,23.009999999999998,5.55,0.0,0.0
Puerto Rico [United States],1993,5,18.4325,-66.0108,27.790322580645157,30.987096774193553,24.593548387096774,3.6806451612903226,0.0,0.0
Puerto Rico [United States],1993,6,18.4325,-66.0108,28.471666666666668,31.873333333333342,25.07,4.623333333333333,0.0,0.0
Puerto Rico [United States],1993,7,18.4325,-66.0108,28.227419354838705,31.5483870967742,24.90645161290323,6.016129032258067,0.0,0.0
Puerto Rico [United States],1993,8,18.4325,-66.0108,28.99193548387097,32.41612903225806,25.56774193548387,2.4741935483870967,0.0,0.0
Puerto Rico [United States],1993,9,18.4325,-66.0108,28.331666666666663,32.00333333333334,24.66,3.693333333333333,0.0,0.0
Puerto Rico [United States],1993,10,18.4325,-66.0108,28.151612903225807,31.812903225806462,24.49032258064515,2.283870967741935,0.0,0.0
Puerto Rico [United States],1993,11,18.4325,-66.0108,27.136666666666674,30.786666666666672,23.48666666666666,3.6799999999999993,0.0,0.0
Puerto Rico [United States],1993,12,18.4325,-66.0108,26.072580645161285,29.74838709677419,22.396774193548392,2.4645161290322575,0.0,0.0
Puerto Rico [United States],1994,1,18.4325,-66.0108,25.446774193548386,29.016129032258053,21.87741935483871,2.7774193548387087,0.0,0.0
Puerto Rico [United States],1994,2,18.4325,-66.0108,25.50714285714286,29.482142857142854,21.532142857142865,1.5321428571428568,0.0,0.0
Puerto Rico [United States],1994,3,18.4325,-66.0108,26.288709677419345,30.412903225806453,22.164516129032258,1.132258064516129,0.0,0.0
Puerto Rico [United States],1994,4,18.4325,-66.0108,26.468333333333344,30.08,22.856666666666662,2.3299999999999996,0.0,0.0
Puerto Rico [United States],1994,5,18.4325,-66.0108,28.212903225806457,31.85806451612903,24.56774193548387,1.390322580645161,0.0,0.0
Puerto Rico [United States],1994,6,18.4325,-66.0108,28.20833333333333,31.680000000000014,24.736666666666665,3.8066666666666653,0.0,0.0
Puerto Rico [United States],1994,7,18.4325,-66.0108,28.288709677419345,31.612903225806466,24.964516129032255,2.9258064516129023,0.0,0.0
Puerto Rico [United States],1994,8,18.4325,-66.0108,28.769354838709685,32.225806451612904,25.312903225806462,1.506451612903226,0.0,0.0
Puerto Rico [United States],1994,9,18.4325,-66.0108,28.48666666666666,31.766666666666676,25.20666666666667,4.486666666666666,0.0,0.0
Puerto Rico [United States],1994,10,18.4325,-66.0108,28.222580645161294,31.906451612903236,24.538709677419348,2.8967741935483855,0.0,0.0
Puerto Rico [United States],1994,11,18.4325,-66.0108,27.291666666666675,30.91666666666667,23.666666666666654,7.053333333333333,0.0,0.0
Puerto Rico [United States],1994,12,18.4325,-66.0108,26.50967741935484,30.367741935483878,22.651612903225804,2.493548387096774,0.0,0.0
Puerto Rico [United States],1995,1,18.4325,-66.0108,25.570967741935483,29.461290322580652,21.680645161290325,3.0258064516129037,0.0,0.0
Puerto Rico [United States],1995,2,18.4325,-66.0108,25.919642857142854,30.074999999999992,21.764285714285712,3.2464285714285714,0.0,0.0
Puerto Rico [United States],1995,3,18.4325,-66.0108,25.125806451612902,28.95806451612903,21.29354838709678,1.0612903225806454,0.0,0.0
Puerto Rico [United States],1995,4,18.4325,-66.0108,26.990000000000002,30.92666666666667,23.05333333333333,2.5266666666666664,0.0,0.0
Puerto Rico [United States],1995,5,18.4325,-66.0108,27.47903225806452,31.061290322580657,23.89677419354838,7.75483870967742,0.0,0.0
Puerto Rico [United States],1995,6,18.4325,-66.0108,28.5,32.11,24.890000000000008,3.949999999999999,0.0,0.0
Puerto Rico [United States],1995,7,18.4325,-66.0108,29.01451612903227,32.55806451612902,25.47096774193549,4.054838709677419,0.0,0.0
Puerto Rico [United States],1995,8,18.4325,-66.0108,29.159677419354843,32.6483870967742,25.67096774193549,4.229032258064515,0.0,0.0
Puerto Rico [United States],1995,9,18.4325,-66.0108,29.374999999999996,32.946666666666665,25.80333333333334,6.070000000000002,0.0,0.0
Puerto Rico [United States],1995,10,18.4325,-66.0108,27.935483870967737,31.570967741935497,24.29999999999999,5.00967741935484,0.0,0.0
Puerto Rico [United States],1995,11,18.4325,-66.0108,27.178333333333335,30.793333333333344,23.563333333333325,2.6166666666666667,0.0,0.0
Puerto Rico [United States],1995,12,18.4325,-66.0108,26.64677419354839,30.254838709677422,23.03870967741935,3.1516129032258062,0.0,0.0
Puerto Rico [United States],1996,1,18.4325,-66.0108,25.66129032258064,29.009677419354823,22.31290322580646,4.699999999999999,0.0,0.0
Puerto Rico [United States],1996,2,18.4325,-66.0108,25.493103448275857,29.16896551724137,21.817241379310346,2.1448275862068966,0.0,0.0
