,Year,Month,AvgDryBulbTemp_Cincinnati,MinDryBulbTemp_Cincinnati,MaxDryBulbTemp_Cincinnati,DECADE
385,1980,2,269.28346104725415,254.2611111111111,285.92777777777775,1980
386,1980,3,276.7857526881723,249.81666666666663,292.59444444444443,1980
387,1980,4,283.5736111111114,268.15,302.0388888888889,1980
388,1980,5,291.76708482676304,274.26111111111106,303.7055555555555,1980
389,1980,6,294.6453703703709,281.4833333333333,305.92777777777775,1980
390,1980,7,298.0066308243735,286.4833333333333,308.7055555555555,1980
391,1980,8,297.53612232690335,289.81666666666666,307.0388888888889,1980
392,1980,9,292.9707386802661,278.15,304.81666666666666,1980
393,1980,10,283.4367383512548,268.7055555555555,300.3722222222222,1980
394,1980,11,278.42469135802577,266.4833333333333,294.81666666666666,1980
395,1980,12,273.8551571192302,255.3722222222222,292.59444444444443,1980
396,1981,1,269.1125149342893,253.70555555555552,288.7055555555555,1980
397,1981,2,274.1346230158734,250.3722222222222,289.81666666666666,1980
398,1981,3,277.9558542413384,266.4833333333333,301.4833333333333,1980
399,1981,4,287.80663580246977,272.0388888888889,302.0388888888889,1980
400,1981,5,288.6390979689372,277.0388888888889,303.7055555555555,1980
401,1981,6,295.8969135802474,284.81666666666666,305.3722222222222,1980
402,1981,7,297.20839307049005,285.92777777777775,308.15,1980
403,1981,8,295.7649940262844,285.92777777777775,305.92777777777775,1980
404,1981,9,291.30046296296337,277.59444444444443,303.15,1980
405,1981,10,285.33712664277226,266.4833333333333,300.3722222222222,1980
406,1981,11,279.64691358024714,267.0388888888889,296.4833333333333,1980
407,1981,12,271.5809309309315,252.03888888888886,288.15,1980
408,1982,1,268.8115890083638,245.3722222222222,287.59444444444443,1980
409,1982,2,272.26706349206364,250.3722222222222,290.3722222222222,1980
410,1982,3,279.81293309438496,265.3722222222222,298.7055555555555,1980
411,1982,4,283.3984567901241,267.59444444444443,300.3722222222222,1980
412,1982,5,292.9909498207888,279.26111111111106,303.7055555555555,1980
413,1982,6,292.9378086419757,282.59444444444443,303.15,1980
414,1982,7,297.98945639187633,285.92777777777775,307.0388888888889,1980
415,1982,8,294.9270320656232,284.26111111111106,305.92777777777775,1980
416,1982,9,292.3216751425489,278.7055555555555,304.81666666666666,1980
417,1982,10,288.1500000000004,273.15,303.15,1980
418,1982,11,282.3814814814822,266.4833333333333,299.81666666666666,1980
419,1982,12,279.4964140730723,263.7055555555555,297.0388888888889,1980
420,1983,1,272.99094982078844,259.81666666666666,283.7055555555555,1980
421,1983,2,274.85882936507994,262.0388888888889,292.59444444444443,1980
422,1983,3,279.8801373954603,265.92777777777775,298.7055555555555,1980
423,1983,4,282.8930555555559,268.7055555555555,299.81666666666666,1980
424,1983,5,288.3267337807612,274.81666666666666,299.26111111111106,1980
425,1983,6,295.3027777777779,280.92777777777775,307.0388888888889,1980
426,1983,7,299.2461567219985,284.81666666666666,310.92777777777775,1980
427,1983,8,298.4543218184544,285.92777777777775,310.92777777777775,1980
428,1983,9,292.7379629629631,274.81666666666666,307.0388888888889,1980
429,1983,10,286.24961170848354,272.0388888888889,302.0388888888889,1980
430,1983,11,280.16543209876585,269.26111111111106,293.15,1980
431,1983,12,269.10399188092066,248.70555555555552,283.15,1980
432,1984,1,268.80697240865055,244.2611111111111,282.59444444444443,1980
433,1984,2,276.3964530527659,258.7055555555555,293.15,1980
434,1984,3,274.62774790920014,256.4833333333333,295.92777777777775,1980
435,1984,4,283.8058641975311,271.4833333333333,300.92777777777775,1980
436,1984,5,288.5883213859022,275.3722222222222,301.4833333333333,1980
437,1984,6,296.8462552011102,280.92777777777775,306.4833333333333,1980
438,1984,7,295.75402684563795,283.7055555555555,306.4833333333333,1980
439,1984,8,296.4504778972522,285.3722222222222,304.81666666666666,1980
440,1984,9,291.6156817482305,278.7055555555555,307.0388888888889,1980
441,1984,10,289.3820788530469,274.26111111111106,299.26111111111106,1980
442,1984,11,278.7571813838813,266.4833333333333,294.81666666666666,1980
443,1984,12,278.9017666516314,256.4833333333333,292.59444444444443,1980
444,1985,1,268.44047192353696,244.2611111111111,291.4833333333333,1980
445,1985,2,271.97192460317524,250.92777777777775,295.3722222222222,1980
446,1985,3,281.8196495152877,268.15,298.7055555555555,1980
447,1985,4,287.81404684851293,269.26111111111106,302.59444444444443,1980
448,1985,5,291.8014336917566,278.7055555555555,303.15,1980
