,Year,Month,MinDryBulbTemp_NewYork,MinWetBulbTemp_NewYork,MinDewPointTemp_NewYork,MinHumidity_NewYork,MinSeaLevelPressure_NewYork,MinStationPressure_NewYork,MinWindspeed_NewYork,DECADE
382,1979,11,270.3722222222222,268.7055555555555,263.7055555555555,37.0,29.6,29.57,0.0,1970
383,1979,12,265.92777777777775,264.26111111111106,255.3722222222222,27.0,29.43,29.4,0.0,1970
384,1980,1,264.26111111111106,262.0388888888889,253.70555555555552,30.0,29.32,29.29,0.0,1980
385,1980,2,260.3722222222222,259.26111111111106,252.59444444444443,24.0,29.37,29.34,0.0,1980
386,1980,3,259.81666666666666,258.7055555555555,250.92777777777775,20.0,29.13,29.1,0.0,1980
387,1980,4,273.7055555555555,270.92777777777775,263.7055555555555,17.0,29.41,29.38,0.0,1980
388,1980,5,282.59444444444443,278.7055555555555,269.26111111111106,20.0,29.49,29.46,0.0,1980
389,1980,6,282.59444444444443,278.15,272.59444444444443,27.0,29.49,29.45,0.0,1980
390,1980,7,290.3722222222222,284.26111111111106,277.59444444444443,30.0,29.64,29.61,0.0,1980
391,1980,8,291.4833333333333,286.4833333333333,281.4833333333333,31.0,29.74,29.71,0.0,1980
392,1980,9,282.0388888888889,278.7055555555555,272.0388888888889,29.0,29.71,29.68,0.0,1980
393,1980,10,277.59444444444443,274.26111111111106,267.0388888888889,31.0,29.11,29.08,0.0,1980
394,1980,11,271.4833333333333,269.26111111111106,262.59444444444443,25.0,29.47,29.44,0.0,1980
395,1980,12,254.81666666666663,254.2611111111111,248.70555555555552,29.0,29.66,29.58,0.0,1980
396,1981,1,255.92777777777775,255.3722222222222,249.81666666666663,28.0,29.54,29.51,0.0,1980
397,1981,2,259.26111111111106,258.15,251.48333333333332,34.0,29.45,29.42,0.0,1980
398,1981,3,264.81666666666666,262.59444444444443,255.3722222222222,24.0,29.2,29.17,0.0,1980
399,1981,4,274.26111111111106,270.92777777777775,262.0388888888889,23.0,29.27,29.24,0.0,1980
400,1981,5,280.3722222222222,275.92777777777775,267.59444444444443,19.0,29.69,29.66,0.0,1980
401,1981,6,287.59444444444443,283.15,275.3722222222222,17.0,29.3,29.27,0.0,1980
402,1981,7,290.3722222222222,286.4833333333333,281.4833333333333,24.0,29.61,29.58,0.0,1980
403,1981,8,288.7055555555555,284.81666666666666,274.81666666666666,20.0,29.68,29.65,0.0,1980
404,1981,9,280.92777777777775,277.59444444444443,271.4833333333333,31.0,29.59,29.56,5.0,1980
405,1981,10,277.59444444444443,274.81666666666666,269.26111111111106,26.0,29.53,29.5,0.0,1980
406,1981,11,271.4833333333333,269.81666666666666,263.15,22.0,29.41,29.38,0.0,1980
407,1981,12,267.0388888888889,265.3722222222222,258.15,34.0,29.35,29.32,0.0,1980
408,1982,1,254.81666666666663,254.2611111111111,244.2611111111111,29.0,29.35,29.32,0.0,1980
409,1982,2,265.3722222222222,263.7055555555555,254.2611111111111,25.0,29.57,29.54,0.0,1980
410,1982,3,268.15,265.3722222222222,257.0388888888889,20.0,29.57,29.54,0.0,1980
411,1982,4,267.59444444444443,265.3722222222222,259.26111111111106,17.0,29.21,29.18,0.0,1980
412,1982,5,283.15,280.92777777777775,270.3722222222222,19.0,29.77,29.74,0.0,1980
413,1982,6,283.7055555555555,282.59444444444443,277.59444444444443,32.0,29.61,29.58,0.0,1980
414,1982,7,288.15,283.7055555555555,278.15,31.0,29.69,29.66,0.0,1980
415,1982,8,283.7055555555555,280.3722222222222,274.81666666666666,31.0,29.57,29.54,0.0,1980
416,1982,9,285.92777777777775,283.7055555555555,278.7055555555555,27.0,29.73,29.7,0.0,1980
417,1982,10,277.0388888888889,274.26111111111106,269.81666666666666,33.0,29.55,29.52,0.0,1980
418,1982,11,269.81666666666666,267.59444444444443,261.4833333333333,30.0,29.68,29.65,0.0,1980
419,1982,12,264.26111111111106,262.0388888888889,254.2611111111111,28.0,29.6,29.57,0.0,1980
420,1983,1,261.4833333333333,260.3722222222222,254.2611111111111,32.0,29.45,29.42,0.0,1980
