,Year,Month,AvgDryBulbTemp_NewYork,MinDryBulbTemp_NewYork,MaxDryBulbTemp_NewYork,DECADE
423,1983,4,283.9613730929269,274.81666666666666,302.0388888888889,1980
424,1983,5,287.7898210290831,276.4833333333333,299.26111111111106,1980
425,1983,6,295.37914742997924,284.81666666666666,308.15,1980
426,1983,7,298.62640382317846,289.26111111111106,309.26111111111106,1980
427,1983,8,297.597423294609,288.15,309.26111111111106,1980
428,1983,9,294.65848765432145,282.59444444444443,308.7055555555555,1980
429,1983,10,287.1471624850661,274.26111111111106,301.4833333333333,1980
430,1983,11,281.9339506172845,273.15,291.4833333333333,1980
431,1983,12,274.79035483386,257.0388888888889,289.81666666666666,1980
432,1984,1,271.7431899641579,258.7055555555555,282.59444444444443,1980
433,1984,2,276.87947553005,263.7055555555555,289.81666666666666,1980
434,1984,3,274.930167264039,262.0388888888889,286.4833333333333,1980
435,1984,4,282.9465788257058,274.81666666666666,295.92777777777775,1980
436,1984,5,289.17386278896356,279.81666666666666,304.26111111111106,1980
437,1984,6,296.0603097549703,282.59444444444443,308.7055555555555,1980
438,1984,7,296.12315436241664,288.7055555555555,305.92777777777775,1980
439,1984,8,297.4370991797168,288.7055555555555,305.92777777777775,1980
440,1984,9,291.90925925925967,280.3722222222222,303.15,1980
441,1984,10,289.7763440860223,278.7055555555555,299.81666666666666,1980
442,1984,11,281.122222222222,268.15,294.26111111111106,1980
443,1984,12,279.14790073474273,269.81666666666666,293.15,1980
444,1985,1,271.1570191158903,253.70555555555552,287.0388888888889,1980
445,1985,2,275.014252645503,262.59444444444443,295.92777777777775,1980
446,1985,3,280.02948028673876,268.15,299.81666666666666,1980
447,1985,4,284.9408950617286,271.4833333333333,301.4833333333333,1980
448,1985,5,291.20406212664295,279.81666666666666,304.26111111111106,1980
449,1985,6,293.3606481481486,285.92777777777775,302.59444444444443,1980
450,1985,7,297.62132616487503,289.26111111111106,306.4833333333333,1980
451,1985,8,297.1304885314265,289.81666666666666,308.15,1980
452,1985,9,294.457870370371,283.7055555555555,306.4833333333333,1980
453,1985,10,288.46511350059814,275.92777777777775,298.7055555555555,1980
