,Year,Month,AvgDryBulbTemp_Atlanta,MinDryBulbTemp_Atlanta,MaxDryBulbTemp_Atlanta,DECADE
280,1971,5,292.3308542413386,276.4833333333333,302.59444444444443,1970
281,1971,6,297.46617987946274,287.0388888888889,306.4833333333333,1970
282,1971,7,296.78873954599885,291.4833333333333,305.3722222222222,1970
283,1971,8,297.2554360812435,290.92777777777775,304.26111111111106,1970
284,1971,9,295.7379629629632,287.0388888888889,303.15,1970
285,1971,10,292.0642771804066,277.0388888888889,303.7055555555555,1970
286,1971,11,283.2518518518525,270.92777777777775,298.7055555555555,1970
287,1971,12,284.2222819593789,270.92777777777775,298.15,1970
288,1972,1,281.85370370370373,279.81666666666666,283.7055555555555,1970
289,1972,2,,,,1970
290,1972,3,,,,1970
291,1972,4,,,,1970
292,1972,5,,,,1970
293,1972,6,,,,1970
294,1972,7,,,,1970
295,1972,8,,,,1970
296,1972,9,,,,1970
297,1972,10,,,,1970
298,1972,11,,,,1970
299,1972,12,,,,1970
300,1973,1,277.9513739546001,264.81666666666666,291.4833333333333,1970
301,1973,2,278.8335066864791,264.81666666666666,292.0388888888889,1970
302,1973,3,286.88431899641637,272.59444444444443,299.26111111111106,1970
303,1973,4,287.1398289412858,271.4833333333333,298.7055555555555,1970
304,1973,5,291.4303166069297,277.59444444444443,302.59444444444443,1970
305,1973,6,296.7125000000006,290.3722222222222,304.26111111111106,1970
306,1973,7,298.52933094384815,292.59444444444443,305.92777777777775,1970
307,1973,8,297.49139784946317,289.81666666666666,305.3722222222222,1970
308,1973,9,296.747626752967,284.26111111111106,305.3722222222222,1970
309,1973,10,290.84511468573174,275.92777777777775,302.59444444444443,1970
310,1973,11,286.1805131761442,270.92777777777775,298.7055555555555,1970
311,1973,12,279.74722222222283,264.81666666666666,294.26111111111106,1970
312,1974,1,284.79361148296965,271.4833333333333,295.3722222222222,1970
313,1974,2,280.50449735449797,264.81666666666666,295.3722222222222,1970
314,1974,3,287.3883512544798,272.59444444444443,302.59444444444443,1970
315,1974,4,289.3081790123462,275.92777777777775,302.0388888888889,1970
316,1974,5,294.4577613279498,283.15,304.26111111111106,1970
317,1974,6,295.2292767732963,284.81666666666666,305.3722222222222,1970
318,1974,7,298.0783154121874,290.3722222222222,305.92777777777775,1970
319,1974,8,297.43912783751557,292.59444444444443,305.3722222222222,1970
320,1974,9,293.89768518518554,282.59444444444443,303.7055555555555,1970
321,1974,10,289.2902329749107,275.92777777777775,299.81666666666666,1970
322,1974,11,284.26959876543305,270.3722222222222,300.92777777777775,1970
323,1974,12,279.86252443241693,267.0388888888889,295.3722222222222,1970
324,1975,1,281.2608124253294,265.3722222222222,298.15,1970
325,1975,2,281.4527447089952,267.0388888888889,294.81666666666666,1970
326,1975,3,283.04321983273627,266.4833333333333,298.7055555555555,1970
327,1975,4,288.3915123456794,274.26111111111106,300.92777777777775,1970
328,1975,5,294.4574970131429,283.7055555555555,304.81666666666666,1970
329,1975,6,296.4501543209885,288.15,305.3722222222222,1970
330,1975,7,296.91717443249786,291.4833333333333,303.7055555555555,1970
331,1975,8,297.94512486914977,292.59444444444443,305.92777777777775,1970
332,1975,9,293.76188271604974,282.59444444444443,307.0388888888889,1970
333,1975,10,290.0795101553171,276.4833333333333,302.0388888888889,1970
334,1975,11,285.10293209876596,270.3722222222222,298.15,1970
335,1975,12,279.2190121786201,263.15,294.26111111111106,1970
336,1976,1,276.4280764635608,260.3722222222222,291.4833333333333,1970
337,1976,2,283.94182630906823,265.92777777777775,297.59444444444443,1970
338,1976,3,286.55566741237897,272.59444444444443,300.3722222222222,1970
339,1976,4,289.58827160493865,274.81666666666666,302.59444444444443,1970
340,1976,5,291.28097371565127,278.15,302.0388888888889,1970
341,1976,6,295.8141940967397,285.3722222222222,305.92777777777775,1970
342,1976,7,297.3970956210908,288.15,306.4833333333333,1970
343,1976,8,297.0493148644628,288.15,305.3722222222222,1970
344,1976,9,293.70247341655147,282.59444444444443,302.0388888888889,1970
345,1976,10,286.2167562724024,272.0388888888889,299.81666666666666,1970
346,1976,11,279.666203703704,264.81666666666666,293.7055555555555,1970
347,1976,12,277.5012253796427,263.15,293.15,1970
348,1977,1,271.7775388291519,255.92777777777775,288.15,1970
349,1977,2,278.7072065378904,264.81666666666666,297.0388888888889,1970
350,1977,3,286.0606929510161,269.81666666666666,299.81666666666666,1970
351,1977,4,290.35910493827214,273.15,302.0388888888889,1970
352,1977,5,293.98595035142847,280.92777777777775,303.7055555555555,1970
353,1977,6,297.9385802469145,284.26111111111106,307.59444444444443,1970
354,1977,7,299.2073476702512,290.3722222222222,309.81666666666666,1970
355,1977,8,298.0058841099172,291.4833333333333,305.92777777777775,1970
356,1977,9,295.4046296296298,285.92777777777775,303.7055555555555,1970
357,1977,10,288.07254989574045,275.92777777777775,300.92777777777775,1970
358,1977,11,285.1248805671143,269.81666666666666,295.3722222222222,1970
359,1977,12,278.6469969969975,263.7055555555555,296.4833333333333,1970
360,1978,1,273.7913124533933,260.92777777777775,289.26111111111106,1970
361,1978,2,276.73885591823296,263.15,294.81666666666666,1970
362,1978,3,283.7517897091726,265.92777777777775,300.92777777777775,1970
363,1978,4,289.67391975308635,273.15,302.59444444444443,1970
364,1978,5,292.7398583146909,280.3722222222222,304.26111111111106,1970
365,1978,6,297.4524691358033,287.0388888888889,308.15,1970
366,1978,7,298.551193139449,292.0388888888889,308.15,1970
367,1978,8,298.2759946949609,290.92777777777775,307.0388888888889,1970
368,1978,9,297.21172839506283,288.7055555555555,307.0388888888889,1970
369,1978,10,289.7591696535249,274.81666666666666,300.92777777777775,1970
370,1978,11,287.6376543209876,278.15,299.26111111111106,1970
371,1978,12,280.72419835943333,267.0388888888889,297.59444444444443,1970
372,1979,1,275.5019761372116,261.4833333333333,292.0388888888889,1970
373,1979,2,278.45295525837935,264.26111111111106,294.81666666666666,1970
374,1979,3,286.47063918757533,271.4833333333333,300.3722222222222,1970
375,1979,4,290.4215364462942,275.92777777777775,300.92777777777775,1970
376,1979,5,293.9822147651012,279.81666666666666,304.26111111111106,1970
377,1979,6,297.2055555555564,288.15,307.0388888888889,1970
378,1979,7,298.58608124253345,290.92777777777775,307.59444444444443,1970
379,1979,8,299.19465352449276,290.92777777777775,309.26111111111106,1970
380,1979,9,295.35524691358034,286.4833333333333,305.3722222222222,1970
381,1979,10,289.65462962962965,276.4833333333333,305.3722222222222,1970
382,1979,11,285.3359567901242,267.59444444444443,298.15,1970
383,1979,12,280.8495940460082,267.59444444444443,295.92777777777775,1970
384,1980,1,280.0421744324977,268.15,293.15,1980
385,1980,2,278.35883150008004,263.15,298.7055555555555,1980
386,1980,3,283.83605518270014,262.0388888888889,298.7055555555555,1980
387,1980,4,290.14106179688747,277.59444444444443,305.3722222222222,1980
388,1980,5,295.110125448029,282.59444444444443,304.81666666666666,1980
389,1980,6,298.92160493827237,286.4833333333333,307.59444444444443,1980
390,1980,7,302.2845579450424,292.59444444444443,313.7055555555555,1980
391,1980,8,301.2369175627244,293.15,312.0388888888889,1980
392,1980,9,298.65462962963005,285.3722222222222,308.7055555555555,1980
393,1980,10,289.18569295101594,275.3722222222222,303.15,1980
394,1980,11,283.8837962962969,270.92777777777775,299.26111111111106,1980
395,1980,12,279.9542399639157,266.4833333333333,296.4833333333333,1980
396,1981,1,276.96496415770616,261.4833333333333,291.4833333333333,1980
397,1981,2,281.05509259259287,260.3722222222222,298.15,1980
398,1981,3,284.025149342892,272.0388888888889,302.0388888888889,1980
399,1981,4,292.8919255138312,278.7055555555555,303.15,1980
400,1981,5,292.98572281959423,280.92777777777775,305.92777777777775,1980
401,1981,6,300.1438271604944,291.4833333333333,308.7055555555555,1980
402,1981,7,300.5187752355315,291.4833333333333,309.81666666666666,1980
403,1981,8,297.8737156511355,290.92777777777775,307.59444444444443,1980
404,1981,9,295.1592592592599,280.92777777777775,304.81666666666666,1980
405,1981,10,288.6278972520915,275.92777777777775,304.26111111111106,1980
406,1981,11,285.103703703704,269.81666666666666,297.59444444444443,1980
407,1981,12,277.0321229890247,260.92777777777775,292.59444444444443,1980
408,1982,1,276.8166666666675,252.59444444444443,294.81666666666666,1980
409,1982,2,281.41636904761907,267.59444444444443,297.59444444444443,1980
410,1982,3,286.5632317801673,269.26111111111106,302.0388888888889,1980
411,1982,4,287.6322006472498,271.4833333333333,298.7055555555555,1980
412,1982,5,295.41553166069366,283.7055555555555,306.4833333333333,1980
413,1982,6,297.5288580246922,287.59444444444443,306.4833333333333,1980
414,1982,7,298.41732377538904,292.0388888888889,307.0388888888889,1980
415,1982,8,297.9288203753355,290.92777777777775,306.4833333333333,1980
416,1982,9,294.3111958699339,281.4833333333333,304.81666666666666,1980
417,1982,10,289.8831242532861,276.4833333333333,301.4833333333333,1980
418,1982,11,285.04565083756,272.0388888888889,298.7055555555555,1980
419,1982,12,282.78738738738747,268.7055555555555,295.92777777777775,1980
420,1983,1,277.4997390007464,267.0388888888889,289.81666666666666,1980
421,1983,2,279.84560185185194,269.81666666666666,291.4833333333333,1980
422,1983,3,283.4957287933101,271.4833333333333,298.15,1980
423,1983,4,286.9092592592598,272.0388888888889,299.81666666666666,1980
424,1983,5,292.95164056674173,280.92777777777775,302.0388888888889,1980
425,1983,6,296.18935185185256,285.92777777777775,306.4833333333333,1980
426,1983,7,300.16986260454036,292.0388888888889,309.81666666666666,1980
427,1983,8,300.18927718040624,291.4833333333333,310.92777777777775,1980
428,1983,9,294.23101851851925,279.26111111111106,305.92777777777775,1980
429,1983,10,289.6426821983286,278.15,301.4833333333333,1980
430,1983,11,283.9686728395064,272.0388888888889,296.4833333333333,1980
431,1983,12,277.45724246513754,255.3722222222222,293.15,1980
432,1984,1,277.12899910634553,263.7055555555555,290.92777777777775,1980
433,1984,2,281.31091954023015,263.7055555555555,295.3722222222222,1980
434,1984,3,284.10376584638345,269.26111111111106,299.26111111111106,1980
435,1984,4,287.704783950618,276.4833333333333,302.0388888888889,1980
436,1984,5,292.77365591397876,279.81666666666666,303.15,1980
437,1984,6,298.8868827160496,284.81666666666666,309.26111111111106,1980
438,1984,7,297.33234767025084,291.4833333333333,307.0388888888889,1980
439,1984,8,298.0671146953407,290.3722222222222,304.81666666666666,1980
440,1984,9,294.8421296296298,284.26111111111106,305.3722222222222,1980
441,1984,10,293.7496117084828,279.81666666666666,302.59444444444443,1980
442,1984,11,283.3027777777776,271.4833333333333,295.92777777777775,1980
443,1984,12,285.02237237237273,264.26111111111106,295.92777777777775,1980
444,1985,1,275.0250000000004,250.92777777777775,294.81666666666666,1980
445,1985,2,279.75218253968285,265.3722222222222,295.3722222222222,1980
446,1985,3,286.8856834746398,274.26111111111106,300.92777777777775,1980
447,1985,4,291.11373456790216,276.4833333333333,302.0388888888889,1980
448,1985,5,294.1625448028676,284.81666666666666,303.7055555555555,1980
449,1985,6,298.386554168594,284.81666666666666,309.26111111111106,1980
450,1985,7,298.2051087280314,290.92777777777775,307.0388888888889,1980
451,1985,8,298.0734997029118,290.3722222222222,305.3722222222222,1980
452,1985,9,295.39456773000524,283.7055555555555,305.3722222222222,1980
453,1985,10,292.0366517524239,279.26111111111106,302.59444444444443,1980
454,1985,11,289.5550030693677,274.81666666666666,299.81666666666666,1980
455,1985,12,278.045786474734,260.3722222222222,295.3722222222222,1980
456,1986,1,279.130436081243,259.26111111111106,295.3722222222222,1980
457,1986,2,282.787896825397,264.81666666666666,298.7055555555555,1980
458,1986,3,285.43345280764663,267.0388888888889,301.4833333333333,1980
459,1986,4,290.53194444444506,274.26111111111106,306.4833333333333,1980
460,1986,5,294.41771066368426,280.3722222222222,304.81666666666666,1980
461,1986,6,299.4740740740744,290.92777777777775,308.7055555555555,1980
462,1986,7,301.46015403020823,291.4833333333333,312.0388888888889,1980
463,1986,8,297.6355690145063,286.4833333333333,307.0388888888889,1980
464,1986,9,296.17700617284004,287.59444444444443,307.0388888888889,1980
465,1986,10,290.64327956989285,279.26111111111106,304.26111111111106,1980
466,1986,11,287.3282407407412,271.4833333333333,300.92777777777775,1980
467,1986,12,280.18578409261823,271.4833333333333,294.26111111111106,1980
468,1987,1,278.58533452807706,264.26111111111106,291.4833333333333,1980
469,1987,2,280.4565476190476,269.26111111111106,294.81666666666666,1980
470,1987,3,284.7823639075317,272.0388888888889,298.15,1980
471,1987,4,288.84753086419784,270.3722222222222,304.81666666666666,1980
472,1987,5,295.48438014057183,284.81666666666666,305.3722222222222,1980
473,1987,6,298.0836419753095,287.59444444444443,306.4833333333333,1980
474,1987,7,299.87199790638584,290.92777777777775,308.7055555555555,1980
475,1987,8,300.269922341697,292.59444444444443,308.15,1980
476,1987,9,296.17546296296337,285.3722222222222,305.3722222222222,1980
477,1987,10,288.3015830346483,276.4833333333333,300.3722222222222,1980
478,1987,11,286.0574074074077,271.4833333333333,298.15,1980
479,1987,12,282.3099099099099,270.3722222222222,295.3722222222222,1980
480,1988,1,277.1247610513743,266.4833333333333,294.26111111111106,1980
481,1988,2,280.52228607918295,264.26111111111106,295.92777777777775,1980
482,1988,3,285.71944444444466,269.81666666666666,299.26111111111106,1980
483,1988,4,290.18652334720315,277.59444444444443,304.81666666666666,1980
484,1988,5,294.3089651562737,282.59444444444443,305.3722222222222,1980
485,1988,6,298.8529320987658,286.4833333333333,309.26111111111106,1980
486,1988,7,299.57108415693403,292.0388888888889,309.81666666666666,1980
487,1988,8,299.7016726403828,291.4833333333333,308.15,1980
488,1988,9,295.70355216520323,287.59444444444443,305.3722222222222,1980
489,1988,10,287.92897252090876,277.59444444444443,299.26111111111106,1980
490,1988,11,285.7197333949767,272.59444444444443,297.0388888888889,1980
491,1988,12,281.01861861861903,267.59444444444443,293.15,1980
492,1989,1,282.88452647278194,272.0388888888889,295.92777777777775,1980
493,1989,2,281.4577050264556,264.81666666666666,299.81666666666666,1980
494,1989,3,286.74656972408707,274.26111111111106,301.4833333333333,1980
495,1989,4,290.23314016380823,274.26111111111106,304.26111111111106,1980
496,1989,5,293.60026881720495,280.3722222222222,307.0388888888889,1980
497,1989,6,297.52722144954475,290.3722222222222,307.0388888888889,1980
498,1989,7,298.85435172723277,293.15,307.59444444444443,1980
499,1989,8,299.1147550776591,289.81666666666666,307.0388888888889,1980
500,1989,9,295.3320987654325,283.7055555555555,306.4833333333333,1980
501,1989,10,290.72765830346555,274.26111111111106,302.59444444444443,1980
502,1989,11,285.4941358024693,270.92777777777775,299.81666666666666,1980
503,1989,12,276.7908058938507,258.7055555555555,292.59444444444443,1980
504,1990,1,283.05516726403874,270.3722222222222,295.3722222222222,1990
505,1990,2,285.47060185185217,270.92777777777775,297.0388888888889,1990
506,1990,3,287.3256272401438,272.59444444444443,300.92777777777775,1990
507,1990,4,289.7618827160503,274.26111111111106,303.15,1990
508,1990,5,294.5452445042626,281.4833333333333,305.3722222222222,1990
509,1990,6,298.83209876543253,287.59444444444443,308.15,1990
510,1990,7,299.5441299790361,291.4833333333333,309.81666666666666,1990
511,1990,8,299.7606630824375,289.26111111111106,309.26111111111106,1990
512,1990,9,297.11759259259304,280.92777777777775,309.26111111111106,1990
513,1990,10,290.853853046595,276.4833333333333,303.7055555555555,1990
514,1990,11,286.6029320987659,273.15,297.59444444444443,1990
515,1990,12,282.64406104345267,266.4833333333333,295.92777777777775,1990
516,1991,1,279.7942652329754,266.4833333333333,290.92777777777775,1990
517,1991,2,282.50763888888895,262.59444444444443,294.81666666666666,1990
518,1991,3,286.5550179211472,273.15,302.59444444444443,1990
519,1991,4,291.31643486323617,278.7055555555555,302.0388888888889,1990
520,1991,5,295.4147849462371,283.15,306.4833333333333,1990
521,1991,6,297.4547839506176,289.26111111111106,307.0388888888889,1990
